,cumDistance,maxSpeed,inclinationSmoothed
123,2501959.356740317,110,0.0027062463554607683
124,2522300.489721945,110,0.01659234285728715
125,2542641.6227035737,110,-0.0006798592004634038
126,2562982.7556852023,110,0.0009124445383743463
127,2583323.888666831,110,0.002073645704063148
128,2603665.0216484596,110,-0.0014634243177548377
129,2624006.1546300882,110,0.0002439738051218344
130,2644347.287611717,110,0.0034780357766825178
131,2664688.4205933455,110,-0.004246023813396489
132,2685029.553574974,110,0.0004791547400969346
133,2705370.6865566024,110,-0.018164714540263603
134,2725711.819538231,80,0.0024141865049514886
135,2746052.9525198597,110,0.005003141338247036
136,2766394.0855014883,110,0.010223834685434282
137,2786735.218483117,110,0.0008322311191499509
138,2807076.3514647456,110,0.001690215064282248
139,2827417.4844463742,80,-0.0064234937973769455
140,2847758.617428003,110,0.00228574724713823
